zoneID,startTime,endTime,dt
1180605,2015-07-01 19:25:39.23,2015-07-01 19:25:39.246,16
1180103,2015-07-01 19:25:39.684,2015-07-01 19:25:39.715,31
1180602,2015-07-01 19:25:40.075,2015-07-01 19:25:40.277,202
1180104,2015-07-01 19:25:40.823,2015-07-01 19:25:40.824,1
1180603,2015-07-01 19:25:41.292,2015-07-01 19:25:41.37,78
1191509,2015-07-01 19:25:41.448,2015-07-01 19:25:41.576,128
1191507,2015-07-01 19:25:42.499,2015-07-01 19:25:42.53,31
1191508,2015-07-01 19:25:45.715,2015-07-01 19:25:45.731,16
1191505,2015-07-01 19:25:45.809,2015-07-01 19:25:45.877,68
1180712,2015-07-01 19:25:46.644,2015-07-01 19:25:46.675,31
1191506,2015-07-01 19:25:48.13,2015-07-01 19:25:48.161,31
1180713,2015-07-01 19:25:48.349,2015-07-01 19:25:48.364,15
1191503,2015-07-01 19:25:49.332,2015-07-01 19:25:49.457,125
1180714,2015-07-01 19:25:49.629,2015-07-01 19:25:49.629,0
1191504,2015-07-01 19:25:51.182,2015-07-01 19:25:51.198,16
1191909,2015-07-01 19:25:52.216,2015-07-01 19:25:52.498,282
1191908,2015-07-01 19:25:52.654,2015-07-01 19:25:52.669,15
1191907,2015-07-01 19:25:53.106,2015-07-01 19:25:53.137,31
1192501,2015-07-01 19:25:53.325,2015-07-01 19:25:53.419,94
1192502,2015-07-01 19:25:53.69,2015-07-01 19:25:53.691,1
1192503,2015-07-01 19:25:54.099,2015-07-01 19:25:54.146,47
1191902,2015-07-01 19:25:54.487,2015-07-01 19:25:54.518,31
1191901,2015-07-01 19:25:54.964,2015-07-01 19:25:54.975,11
1191510,2015-07-01 19:25:55.284,2015-07-01 19:25:55.424,140
1191906,2015-07-01 19:25:56.041,2015-07-01 19:25:56.041,0
1191905,2015-07-01 19:25:56.212,2015-07-01 19:25:56.228,16
1191904,2015-07-01 19:25:56.4,2015-07-01 19:25:56.433,33
1191903,2015-07-01 19:25:56.624,2015-07-01 19:25:56.64,16
1192507,2015-07-01 19:25:57.108,2015-07-01 19:25:57.154,46
1191114,2015-07-01 19:25:57.975,2015-07-01 19:25:58.035,60
1192506,2015-07-01 19:25:58.225,2015-07-01 19:25:58.231,6
1192505,2015-07-01 19:25:58.586,2015-07-01 19:25:58.586,0
1192504,2015-07-01 19:25:59.006,2015-07-01 19:25:59.022,16
1191110,2015-07-01 19:25:59.351,2015-07-01 19:25:59.367,16
1191111,2015-07-01 19:25:59.492,2015-07-01 19:25:59.523,31
